id,name,title,start_date,end_date,organization_exit_date,price,exit,top_syndicate,person_id,funding_amount,candidate_id
109581,InResponse Health,Founder,,,,,false,[],92345,0.0,31148
109597,Simfoni,Founder,,,,,false,[],92355,3.0,31167
109604,Luxor Technologies,Co-Founder,,,,,false,[],92359,0.0,31180
109605,Luxor Technologies,Co-Founder,,,,,false,[],92360,0.0,31180
109606,Luxor Technologies,Co-Founder,,,,,false,[],92361,0.0,31180
109607,Podchaser,Co-Founder,,,,,false,[],92362,0.0,31181
183553,Podchaser,CTO,2016-06-01,,,,false,[],92362,1.65,
109608,Podchaser,Co-Founder,,,,,false,[],92363,0.0,31181
183554,Podchaser,CEO,,,,,false,[],92363,1.65,
109609,Podchaser,Co-Founder,,,,,false,[],92364,0.0,31181
183555,Podchaser,COO,,,,,false,[],92364,1.65,
109610,Podchaser,Co-Founder,,,,,false,[],92365,0.0,31181
183556,Podchaser,Chief Design Officer,,,,,false,[],92365,1.65,
158066,Satellite Innovations,President and Co-Founder,,,,,false,[],92389,1.8,
158067,DigiFi,President and Co-Founder,2014-06-01,,,,false,[],92389,4.1,
109630,DigiFi,Co-Founder,,,,,false,[],92389,1.1,31182
158068,Satellite Innovations,Co-Founder,,,,,false,[],92390,1.8,
109631,DigiFi,Co-Founder,,,,,false,[],92390,1.1,31182
109632,osprey-data,Member of the Board of Directors,,,,0.0,false,[],92391,12.0,
