id,name,location,linkedin_url,twitter_url
92044,Nelson Becerra,,,
92048,Elaine Chow,,https://www.linkedin.com/in/elchow/,
92049,Joseph Luttwak,,https://www.linkedin.com/in/joeluttwak/,
92050,Desi Banatao,,https://www.linkedin.com/in/desi-banatao-53a11228/,
92051,Richard Robbins,,http://www.linkedin.com/in/srichardrobbins,
92052,Aamir Latif,,https://www.linkedin.com/in/aamirrl/,
92069,David Piskovich,,,
92070,Matt Zarracina,,https://www.linkedin.com/in/zarracina/,
92071,Steven Dobesh,,,
92072,Ash Turner,,https://www.linkedin.com/in/ashleyturner1/,
92076,Ho Yin Cheung,,https://www.linkedin.com/in/hoyincheung/,
92102,Alexander Ruckdaeschel,,,
92103,Frank Minella,,https://www.linkedin.com/in/frankminella/,
92104,Ben Tiggelaar,,,
92109,Joseph Kolchinsky,,,
92114,Francis Mariela,,,
92115,Nader Soussou,,https://www.linkedin.com/in/nader-soussou-ab759838/,
92123,Loris D'Acunto,,https://www.linkedin.com/in/lorisdacunto/,
92124,Damian Scavo,,https://www.linkedin.com/in/dscavo/,
92126,Andrew Miner,,https://www.linkedin.com/in/andrew-miner-9687b61/,
92127,Jon Mapel,,https://www.linkedin.com/in/jmapel,
92128,Kirk Morales,,http://www.linkedin.com/in/kirkmorales,
92129,Michael Bell,,https://www.linkedin.com/in/bellmichael1/,
92142,John Dogan,,https://www.linkedin.com/in/john-dogan/,
92143,Jim Tobin,,https://www.linkedin.com/in/tobinjim/en,
92144,John Andrews,,,
92175,Sam Badah,,https://www.linkedin.com/in/sam-badah-53528591/,
92178,Ginger Dhaliwal,,,
92179,Christophe Garnier,,http://www.linkedin.com/in/cgarnier,
92180,Prankush Roopanwal,,,
92181,Vishu Gupta,,https://www.linkedin.com/in/vishugupta1/,
92182,Sumit Chakraborty,,,
92186,Mark Bernard,,,
92188,John Etchemendy,,,
3948,Fei-Fei Li,,https://www.linkedin.com/in/fei-fei-li-4541247,
92236,Chuck Lacona,,https://www.linkedin.com/in/chucklacona/,
92237,Enrico Becerra,,,
91963,Michael Young,,,
92283,John Lumpkin,,,
92300,ChihWei Chao,,https://www.linkedin.com/in/chihwei-chao-3273054/,
92301,Anjan Venkatramani,,https://www.linkedin.com/in/anjanvenkatramani,
92302,Jud Mackrill,,https://www.linkedin.com/in/judmackrill/,
90846,Bryan Golkhajeh,,,
92339,Nassim Abdi,,https://www.linkedin.com/in/nassimabdi,
92340,Babak Shahmansouri,,,
92343,Carl Kaiser,,https://www.linkedin.com/in/carlkaiser/,
92344,Brent Wieand,,,
92345,Lenard Bass,,https://www.linkedin.com/in/lenardwbassjr/,
74120,Kyle Hanslovan,,https://www.linkedin.com/in/kylehanslovan,
74121,Chris Bisnett,,https://www.linkedin.com/in/chris-bisnett-1792041b/,
74122,John Ferrell,,https://www.linkedin.com/in/john-ferrell-192716a2/,
92355,Chirag Shah,,,
